Stock,Producto,Nanomaterial,Precio
340,Materiales aeronáuticos,Nanopartículas de dióxido de titanio,47727
15,Paneles solares,Nanopartículas de plata,6657
218,Vendajes,Nanocelulosa,9896
208,Paneles solares,N/A,44772
124,Tintas conductivas,Nanopartículas de dióxido de titanio,19580
2,Envases con alimentos antimicrobiana,Nanocelulosa,23103
73,Baterías de iones de litio,Nanocelulosa,14042
61,Protector solar UV,Nanocelulosa,23722
47,Ropa antimicrobiana,Nanocelulosa,32945
96,Protector solar UV,Nanotubos de Carbono,10544
482,Refuerzo en neumáticos,Óxido de grafeno,49173
27,Vendajes,Nanopartículas de dióxido de titanio,44332
270,Materiales aeronáuticos,Nanotubos de Carbono,21320
60,Pintura Automotriz,Nanocelulosa,40466
240,Ropa antimicrobiana,Nanotubos de Carbono,1169
226,Envases con alimentos antimicrobiana,Nanopartículas de sílice,30734
293,Apósitos,Óxido de grafeno,41942
280,Ropa antimicrobiana,N/A,35865
408,Ropa antimicrobiana,Nanopartículas de oro,15066
158,Baterías de iones de litio,Óxido de grafeno,18611
343,Fotocatalizador,Nanopartículas de sílice,10815
107,Tintas conductivas,Nanopartículas de dióxido de titanio,18866
103,Materiales aeronáuticos,Nanopartículas de oro,11125
23,Tintas conductivas,Nanotubos de Carbono,27652
104,Paneles solares,Nanotubos de Carbono,38382
97,Apósitos,Nanotubos de Carbono,10139
381,Fotocatalizador,Nanotubos de Carbono,44616
49,Refuerzo en neumáticos,Nanopartículas de oro,47333
152,Pintura Automotriz,Nanopartículas de oro,44641
199,Protector solar UV,Nanopartículas de oro,27326
14,Ropa antimicrobiana,Nanopartículas de dióxido de titanio,30900
168,Paneles solares,Nanocelulosa,17462
142,Baterías de iones de litio,Nanopartículas de dióxido de titanio,49687
190,Vendajes,Óxido de grafeno,28546
69,Materiales aeronáuticos,Nanopartículas de plata,46771
66,Pintura Automotriz,Nanopartículas de oro,20141
200,Ropa antimicrobiana,Nanocelulosa,44444
236,Fotocatalizador,Nanocelulosa,29005
155,Fotocatalizador,Nanopartículas de dióxido de titanio,44546
313,Fotocatalizador,Nanocelulosa,45046
328,Ropa antimicrobiana,Nanopartículas de oro,37786
191,Vendajes,Nanopartículas de plata,30914
47,Ropa antimicrobiana,Nanopartículas de dióxido de titanio,10202
461,Apósitos,N/A,34394
324,Protector solar UV,Nanopartículas de plata,38236
404,Ropa antimicrobiana,N/A,46353
321,Paneles solares,Nanopartículas de sílice,34621
384,Envases biodegradables,Nanopartículas de dióxido de titanio,21304
85,Envases biodegradables,N/A,35222
187,Ropa antimicrobiana,Nanopartículas de dióxido de titanio,17269
359,Fotocatalizador,Nanopartículas de sílice,44349
360,Ropa antimicrobiana,Nanocelulosa,3318
34,Envases con alimentos antimicrobiana,Nanocelulosa,38545
458,Paneles solares,Nanopartículas de plata,36557
278,Envases biodegradables,Nanopartículas de oro,18705
489,Apósitos,Nanocelulosa,45334
470,Tintas conductivas,Nanopartículas de oro,47360
42,Apósitos,Nanopartículas de oro,5146
406,Envases biodegradables,Nanopartículas de oro,18797
495,Vendajes,N/A,14723
158,Protector solar UV,Nanopartículas de oro,24471
445,Tintas conductivas,Nanopartículas de sílice,20989
429,Pintura Automotriz,Nanopartículas de dióxido de titanio,15158
193,Ropa antimicrobiana,Nanopartículas de dióxido de titanio,48749
100,Baterías de iones de litio,N/A,11774
198,Protector solar UV,Nanopartículas de sílice,6397
368,Fotocatalizador,Nanopartículas de oro,34020
80,Envases biodegradables,Nanopartículas de dióxido de titanio,40120
342,Protector solar UV,Nanocelulosa,37490
218,Apósitos,Nanocelulosa,23521
44,Baterías de iones de litio,Nanopartículas de dióxido de titanio,41680
68,Paneles solares,Nanopartículas de dióxido de titanio,43170
142,Tintas conductivas,Nanopartículas de dióxido de titanio,41329
198,Ropa antimicrobiana,Óxido de grafeno,44935
323,Vendajes,Nanocelulosa,48229
125,Ropa antimicrobiana,Nanopartículas de oro,9628
197,Envases biodegradables,N/A,7617
153,Pintura Automotriz,Nanotubos de Carbono,35821
429,Envases biodegradables,Nanopartículas de oro,8938
192,Vendajes,Nanopartículas de oro,24475
382,Pintura Automotriz,Óxido de grafeno,24540
70,Baterías de iones de litio,Nanopartículas de dióxido de titanio,25486
454,Apósitos,Óxido de grafeno,29260
494,Pintura Automotriz,Nanotubos de Carbono,13676
305,Tintas conductivas,N/A,42217
278,Tintas conductivas,Óxido de grafeno,6538
315,Materiales aeronáuticos,Nanopartículas de sílice,36834
179,Envases biodegradables,Nanopartículas de oro,42392
406,Tintas conductivas,Nanopartículas de dióxido de titanio,28083
11,Baterías de iones de litio,Nanotubos de Carbono,23991
316,Paneles solares,N/A,10260
371,Baterías de iones de litio,Nanopartículas de plata,1223
189,Pintura Automotriz,Nanopartículas de sílice,5752
341,Envases con alimentos antimicrobiana,Nanotubos de Carbono,7612
455,Envases biodegradables,Óxido de grafeno,48505
238,Pintura Automotriz,Nanopartículas de dióxido de titanio,44531
396,Envases biodegradables,Nanopartículas de dióxido de titanio,15805
257,Fotocatalizador,Nanopartículas de sílice,16352
43,Tintas conductivas,Nanocelulosa,43717
130,Vendajes,N/A,3276
408,Baterías de iones de litio,Óxido de grafeno,46421
250,Baterías de iones de litio,Nanocelulosa,45805
428,Envases con alimentos antimicrobiana,Óxido de grafeno,12228
381,Vendajes,Nanocelulosa,22575
346,Fotocatalizador,Nanopartículas de plata,29727
329,Materiales aeronáuticos,Nanocelulosa,47462
434,Envases biodegradables,Nanopartículas de oro,32095
43,Ropa antimicrobiana,Óxido de grafeno,495
27,Apósitos,Óxido de grafeno,12742
409,Protector solar UV,Nanocelulosa,22219
282,Refuerzo en neumáticos,Nanopartículas de sílice,11085
82,Protector solar UV,Nanocelulosa,49082
372,Materiales aeronáuticos,N/A,34678
180,Tintas conductivas,Nanotubos de Carbono,386
271,Tintas conductivas,Nanopartículas de sílice,43136
327,Envases biodegradables,Nanopartículas de sílice,46763
175,Baterías de iones de litio,Nanocelulosa,19285
294,Envases con alimentos antimicrobiana,Óxido de grafeno,40808
480,Fotocatalizador,Nanocelulosa,35062
217,Materiales aeronáuticos,Nanotubos de Carbono,7586
354,Envases biodegradables,Nanopartículas de oro,9626
114,Refuerzo en neumáticos,Nanopartículas de sílice,16661
124,Pintura Automotriz,Nanopartículas de plata,16734
127,Apósitos,Nanopartículas de sílice,45172
228,Apósitos,Nanotubos de Carbono,45851
226,Envases con alimentos antimicrobiana,Nanopartículas de dióxido de titanio,42290
391,Ropa antimicrobiana,Nanopartículas de oro,2642
9,Ropa antimicrobiana,Nanopartículas de plata,41288
311,Ropa antimicrobiana,Óxido de grafeno,10980
344,Materiales aeronáuticos,Nanopartículas de dióxido de titanio,10012
384,Envases con alimentos antimicrobiana,Nanopartículas de plata,23660
345,Apósitos,Nanopartículas de oro,23780
427,Apósitos,N/A,1025
53,Vendajes,Nanopartículas de oro,4177
119,Envases biodegradables,Nanopartículas de plata,14302
344,Apósitos,Nanocelulosa,32461
215,Fotocatalizador,Nanotubos de Carbono,35607
185,Materiales aeronáuticos,Óxido de grafeno,2852
495,Apósitos,Nanopartículas de dióxido de titanio,24318
500,Paneles solares,Nanotubos de Carbono,47790
488,Pintura Automotriz,Nanopartículas de dióxido de titanio,8386
114,Vendajes,Nanopartículas de sílice,43278
446,Tintas conductivas,Nanopartículas de dióxido de titanio,35157
437,Fotocatalizador,Nanocelulosa,15060
229,Envases con alimentos antimicrobiana,Nanopartículas de sílice,2122
109,Pintura Automotriz,Nanopartículas de oro,46187
29,Apósitos,Nanotubos de Carbono,8096
374,Apósitos,N/A,8010
460,Vendajes,Nanocelulosa,34684
164,Refuerzo en neumáticos,Nanopartículas de sílice,49194
497,Paneles solares,Óxido de grafeno,45347
426,Tintas conductivas,Nanocelulosa,17769
154,Envases con alimentos antimicrobiana,Nanopartículas de oro,12504
388,Materiales aeronáuticos,Nanopartículas de plata,14577
125,Tintas conductivas,Nanocelulosa,17621
328,Materiales aeronáuticos,Nanotubos de Carbono,41002
175,Apósitos,Nanopartículas de plata,46635
321,Pintura Automotriz,Nanopartículas de sílice,25941
407,Baterías de iones de litio,Nanopartículas de sílice,42011
416,Baterías de iones de litio,Nanopartículas de sílice,9882
380,Envases con alimentos antimicrobiana,Nanopartículas de sílice,15150
246,Fotocatalizador,Nanotubos de Carbono,15403
440,Protector solar UV,Nanocelulosa,4590
74,Protector solar UV,N/A,36002
266,Ropa antimicrobiana,N/A,30325
122,Materiales aeronáuticos,N/A,12479
369,Fotocatalizador,N/A,27460
80,Pintura Automotriz,N/A,3493
289,Protector solar UV,N/A,3686
472,Fotocatalizador,N/A,945
425,Refuerzo en neumáticos,Nanopartículas de dióxido de titanio,40913
385,Envases biodegradables,Nanocelulosa,36394
208,Baterías de iones de litio,Nanocelulosa,48491
3,Envases biodegradables,Nanotubos de Carbono,13573
399,Protector solar UV,Nanotubos de Carbono,35906
95,Protector solar UV,Nanopartículas de plata,41027
298,Tintas conductivas,Nanopartículas de dióxido de titanio,21561
299,Apósitos,Óxido de grafeno,22411
56,Refuerzo en neumáticos,Nanopartículas de plata,11413
271,Tintas conductivas,N/A,45895
115,Tintas conductivas,Nanocelulosa,40546
218,Ropa antimicrobiana,Nanocelulosa,35225
277,Tintas conductivas,Nanopartículas de dióxido de titanio,872
264,Paneles solares,N/A,38606
299,Baterías de iones de litio,Nanopartículas de dióxido de titanio,17310
154,Vendajes,Nanopartículas de sílice,9471
366,Tintas conductivas,Óxido de grafeno,45136
62,Protector solar UV,Nanopartículas de plata,31828
172,Tintas conductivas,Nanocelulosa,8691
142,Vendajes,Nanotubos de Carbono,42311
270,Materiales aeronáuticos,Óxido de grafeno,42503
407,Materiales aeronáuticos,Nanotubos de Carbono,23184
215,Tintas conductivas,Nanocelulosa,4534
235,Protector solar UV,Nanopartículas de dióxido de titanio,37266
306,Envases con alimentos antimicrobiana,Nanocelulosa,14513
337,Paneles solares,Nanopartículas de plata,2514
389,Envases biodegradables,Nanopartículas de plata,46066
357,Protector solar UV,Nanopartículas de oro,23682
157,Baterías de iones de litio,Nanopartículas de sílice,45774
393,Protector solar UV,N/A,13901
388,Tintas conductivas,Nanotubos de Carbono,9117
349,Ropa antimicrobiana,Nanopartículas de plata,27640
13,Tintas conductivas,Nanopartículas de oro,16878
145,Pintura Automotriz,N/A,43765
441,Fotocatalizador,Nanotubos de Carbono,25304
455,Apósitos,Nanopartículas de oro,7821
399,Tintas conductivas,Nanopartículas de plata,5795
394,Vendajes,Nanopartículas de plata,42593
109,Pintura Automotriz,Nanocelulosa,11113
394,Materiales aeronáuticos,Óxido de grafeno,36636
103,Paneles solares,Óxido de grafeno,27507
492,Vendajes,N/A,5419
184,Vendajes,Óxido de grafeno,44550
492,Envases con alimentos antimicrobiana,Nanopartículas de sílice,25455
274,Vendajes,Nanopartículas de dióxido de titanio,49628
316,Apósitos,Nanotubos de Carbono,44174
382,Pintura Automotriz,N/A,5047
372,Ropa antimicrobiana,Nanopartículas de oro,4287
369,Baterías de iones de litio,Nanopartículas de oro,38173
279,Paneles solares,Nanopartículas de dióxido de titanio,18774
239,Vendajes,Nanotubos de Carbono,2534
304,Vendajes,N/A,2362
429,Ropa antimicrobiana,N/A,22451
121,Materiales aeronáuticos,Nanopartículas de plata,6305
414,Baterías de iones de litio,Nanotubos de Carbono,35026
152,Apósitos,Óxido de grafeno,37642
320,Envases biodegradables,Nanocelulosa,503
250,Refuerzo en neumáticos,N/A,41624
497,Apósitos,N/A,46557
273,Vendajes,Óxido de grafeno,25196
242,Paneles solares,Nanopartículas de sílice,15917
235,Tintas conductivas,Nanopartículas de oro,47397
166,Baterías de iones de litio,Nanopartículas de oro,21767
418,Tintas conductivas,Nanopartículas de oro,31387
128,Protector solar UV,Nanopartículas de plata,3628
471,Pintura Automotriz,N/A,32983
352,Tintas conductivas,Nanopartículas de plata,28007
336,Vendajes,Óxido de grafeno,6643
127,Refuerzo en neumáticos,Nanopartículas de dióxido de titanio,46296
376,Refuerzo en neumáticos,Nanopartículas de oro,42042
254,Pintura Automotriz,Nanopartículas de oro,7697
369,Envases biodegradables,Óxido de grafeno,20950
389,Protector solar UV,Nanopartículas de plata,36711
246,Protector solar UV,Nanopartículas de plata,45547
122,Ropa antimicrobiana,Óxido de grafeno,21304
225,Ropa antimicrobiana,Nanotubos de Carbono,15389
451,Fotocatalizador,Óxido de grafeno,42007
377,Refuerzo en neumáticos,Nanocelulosa,26941
307,Paneles solares,Nanopartículas de plata,32682
